Kennziffer;Raumeinheit;Aggregat;Apotheken
"05962";"Märkischer Kreis";"Landkreis";"27,1"
"05966";"Olpe";"Landkreis";"28,2"
"05970";"Siegen-Wittgenstein";"Landkreis";"28,1"
"05974";"Soest";"Landkreis";"25,2"
"05978";"Unna";"Landkreis";"26,9"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"29,7"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"26,0"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"29,2"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"33,4"
"06431";"Bergstraße";"Landkreis";"27,2"
"06432";"Darmstadt-Dieburg";"Landkreis";"23,3"
"06433";"Groß-Gerau";"Landkreis";"27,6"
"06434";"Hochtaunuskreis";"Landkreis";"28,4"
"06435";"Main-Kinzig-Kreis";"Landkreis";"26,1"
"06436";"Main-Taunus-Kreis";"Landkreis";"23,6"
"06437";"Odenwaldkreis";"Landkreis";"24,8"
"06438";"Offenbach";"Landkreis";"25,3"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"25,7"
"06440";"Wetteraukreis";"Landkreis";"21,0"
"06531";"Gießen";"Landkreis";"27,0"
"06532";"Lahn-Dill-Kreis";"Landkreis";"25,6"
"06533";"Limburg-Weilburg";"Landkreis";"30,8"
"06534";"Marburg-Biedenkopf";"Landkreis";"32,1"
"06535";"Vogelsbergkreis";"Landkreis";"24,4"
"06611";"Kassel, Stadt";"krsfr. Stadt";"32,4"
"06631";"Fulda";"Landkreis";"26,6"
"06632";"Hersfeld-Rotenburg";"Landkreis";"26,4"
"06633";"Kassel";"Landkreis";"25,4"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"27,7"
"06635";"Waldeck-Frankenberg";"Landkreis";"26,7"
"06636";"Werra-Meißner-Kreis";"Landkreis";"26,7"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"33,4"
"07131";"Ahrweiler";"Landkreis";"26,4"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"24,8"
"07133";"Bad Kreuznach";"Landkreis";"26,7"
"07134";"Birkenfeld";"Landkreis";"29,7"
"07135";"Cochem-Zell";"Landkreis";"32,4"
"07137";"Mayen-Koblenz";"Landkreis";"22,5"
"07138";"Neuwied";"Landkreis";"26,4"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"22,3"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"25,3"
"07143";"Westerwaldkreis";"Landkreis";"21,9"
"07211";"Trier, Stadt";"krsfr. Stadt";"38,2"
"07231";"Bernkastel-Wittlich";"Landkreis";"24,1"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"25,5"
"07233";"Vulkaneifel";"Landkreis";"23,1"
"07235";"Trier-Saarburg";"Landkreis";"24,2"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"35,1"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"38,1"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"41,0"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"32,0"
"07315";"Mainz, Stadt";"krsfr. Stadt";"32,5"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"33,7"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"51,7"
"07318";"Speyer, Stadt";"krsfr. Stadt";"33,4"
"07319";"Worms, Stadt";"krsfr. Stadt";"36,1"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"32,1"
"07331";"Alzey-Worms";"Landkreis";"24,1"
"07332";"Bad Dürkheim";"Landkreis";"25,6"
"07333";"Donnersbergkreis";"Landkreis";"21,3"
"07334";"Germersheim";"Landkreis";"24,9"
"07335";"Kaiserslautern";"Landkreis";"26,5"
"07336";"Kusel";"Landkreis";"26,8"
