Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der männlichen Bevölkerung;Durchschnittsalter der weiblichen Bevölkerung
"05914";"Hagen, Stadt";"krsfr. Stadt";"42,7";"45,8"
"05915";"Hamm, Stadt";"krsfr. Stadt";"41,6";"44,6"
"05916";"Herne, Stadt";"krsfr. Stadt";"42,5";"45,8"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"44,2";"47,1"
"05958";"Hochsauerlandkreis";"Landkreis";"43,1";"46,1"
"05962";"Märkischer Kreis";"Landkreis";"43,1";"45,9"
"05966";"Olpe";"Landkreis";"42,3";"44,7"
"05970";"Siegen-Wittgenstein";"Landkreis";"42,5";"45,2"
"05974";"Soest";"Landkreis";"42,5";"45,5"
"05978";"Unna";"Landkreis";"43,5";"46,5"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"38,8";"42,1"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"39,5";"41,1"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"39,6";"41,3"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"41,2";"43,7"
"06431";"Bergstraße";"Landkreis";"43,6";"46,0"
"06432";"Darmstadt-Dieburg";"Landkreis";"42,6";"44,7"
"06433";"Groß-Gerau";"Landkreis";"41,4";"43,4"
"06434";"Hochtaunuskreis";"Landkreis";"43,1";"45,8"
"06435";"Main-Kinzig-Kreis";"Landkreis";"42,8";"45,2"
