Kennziffer;Raumeinheit;Aggregat;Abhängigenquote Junge;Abhängigenquote Alte
"05562";"Recklinghausen";"Landkreis";"20,2";"34,8"
"05566";"Steinfurt";"Landkreis";"22,3";"29,8"
"05570";"Warendorf";"Landkreis";"22,2";"32,2"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"21,5";"30,2"
"05754";"Gütersloh";"Landkreis";"22,2";"29,3"
"05758";"Herford";"Landkreis";"21,5";"34,2"
"05762";"Höxter";"Landkreis";"21,0";"34,7"
"05766";"Lippe";"Landkreis";"23,1";"35,3"
"05770";"Minden-Lübbecke";"Landkreis";"22,3";"34,1"
"05774";"Paderborn";"Landkreis";"21,7";"26,4"
"05911";"Bochum, Stadt";"krsfr. Stadt";"18,2";"33,3"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"20,2";"30,9"
"05914";"Hagen, Stadt";"krsfr. Stadt";"22,0";"35,3"
"05915";"Hamm, Stadt";"krsfr. Stadt";"22,0";"31,8"
"05916";"Herne, Stadt";"krsfr. Stadt";"20,0";"33,5"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"19,6";"36,8"
"05958";"Hochsauerlandkreis";"Landkreis";"20,4";"33,6"
"05962";"Märkischer Kreis";"Landkreis";"21,0";"33,9"
"05966";"Olpe";"Landkreis";"21,2";"30,1"
"05970";"Siegen-Wittgenstein";"Landkreis";"20,3";"32,6"
"05974";"Soest";"Landkreis";"21,3";"32,2"
"05978";"Unna";"Landkreis";"20,3";"35,1"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"19,6";"25,0"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"20,7";"22,4"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"23,0";"24,7"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"22,8";"30,6"
"06431";"Bergstraße";"Landkreis";"20,3";"34,0"
"06432";"Darmstadt-Dieburg";"Landkreis";"21,3";"31,4"
"06433";"Groß-Gerau";"Landkreis";"22,4";"29,2"
"06434";"Hochtaunuskreis";"Landkreis";"23,8";"36,0"
"06435";"Main-Kinzig-Kreis";"Landkreis";"21,1";"32,8"
"06436";"Main-Taunus-Kreis";"Landkreis";"23,5";"33,1"
"06437";"Odenwaldkreis";"Landkreis";"19,9";"36,5"
"06438";"Offenbach";"Landkreis";"22,4";"32,8"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"20,8";"35,5"
"06440";"Wetteraukreis";"Landkreis";"20,9";"32,1"
"06531";"Gießen";"Landkreis";"19,1";"28,3"
"06532";"Lahn-Dill-Kreis";"Landkreis";"20,8";"33,8"
"06533";"Limburg-Weilburg";"Landkreis";"20,8";"32,4"
"06534";"Marburg-Biedenkopf";"Landkreis";"19,4";"28,8"
"06535";"Vogelsbergkreis";"Landkreis";"19,1";"37,5"
"06611";"Kassel, Stadt";"krsfr. Stadt";"19,4";"28,9"
"06631";"Fulda";"Landkreis";"21,3";"32,0"
"06632";"Hersfeld-Rotenburg";"Landkreis";"20,8";"37,8"
"06633";"Kassel";"Landkreis";"20,2";"39,4"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"19,9";"35,8"
"06635";"Waldeck-Frankenberg";"Landkreis";"20,5";"36,0"
"06636";"Werra-Meißner-Kreis";"Landkreis";"19,1";"40,6"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"18,5";"32,7"
"07131";"Ahrweiler";"Landkreis";"19,6";"38,3"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"20,7";"34,1"
"07133";"Bad Kreuznach";"Landkreis";"20,8";"36,1"
"07134";"Birkenfeld";"Landkreis";"19,1";"37,8"
"07135";"Cochem-Zell";"Landkreis";"19,0";"37,6"
"07137";"Mayen-Koblenz";"Landkreis";"20,5";"33,2"
"07138";"Neuwied";"Landkreis";"21,4";"34,5"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"20,0";"34,5"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"20,1";"36,2"
"07143";"Westerwaldkreis";"Landkreis";"21,0";"31,9"
"07211";"Trier, Stadt";"krsfr. Stadt";"16,8";"25,2"
"07231";"Bernkastel-Wittlich";"Landkreis";"20,4";"34,9"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"21,0";"31,1"
"07233";"Vulkaneifel";"Landkreis";"19,5";"37,5"
"07235";"Trier-Saarburg";"Landkreis";"21,3";"30,8"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"22,1";"36,2"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"17,9";"29,8"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"18,2";"27,7"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"23,2";"29,2"
"07315";"Mainz, Stadt";"krsfr. Stadt";"17,8";"25,0"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"20,8";"38,1"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"20,1";"40,5"
"07318";"Speyer, Stadt";"krsfr. Stadt";"20,4";"34,1"
"07319";"Worms, Stadt";"krsfr. Stadt";"21,9";"31,1"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"19,5";"35,6"
"07331";"Alzey-Worms";"Landkreis";"20,9";"29,6"
"07332";"Bad Dürkheim";"Landkreis";"19,8";"37,5"
"07333";"Donnersbergkreis";"Landkreis";"20,7";"32,6"
"07334";"Germersheim";"Landkreis";"20,8";"29,3"
"07335";"Kaiserslautern";"Landkreis";"21,4";"33,0"
"07336";"Kusel";"Landkreis";"19,1";"36,6"
"07337";"Südliche Weinstraße";"Landkreis";"19,9";"35,3"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"21,2";"35,1"
"07339";"Mainz-Bingen";"Landkreis";"21,7";"31,1"
"07340";"Südwestpfalz";"Landkreis";"18,0";"38,7"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"18,8";"25,9"
"08115";"Böblingen";"Landkreis";"22,6";"30,2"
"08116";"Esslingen";"Landkreis";"21,1";"31,0"
"08117";"Göppingen";"Landkreis";"21,3";"33,1"
"08118";"Ludwigsburg";"Landkreis";"22,2";"29,9"
"08119";"Rems-Murr-Kreis";"Landkreis";"21,5";"32,1"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"21,9";"29,6"
"08125";"Heilbronn";"Landkreis";"21,4";"28,6"
"08126";"Hohenlohekreis";"Landkreis";"21,3";"28,8"
"08127";"Schwäbisch Hall";"Landkreis";"21,8";"28,6"
"08128";"Main-Tauber-Kreis";"Landkreis";"20,4";"34,4"
"08135";"Heidenheim";"Landkreis";"21,7";"33,9"
"08136";"Ostalbkreis";"Landkreis";"21,3";"31,1"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"18,7";"42,1"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"17,1";"26,3"
"08215";"Karlsruhe";"Landkreis";"20,9";"32,0"
"08216";"Rastatt";"Landkreis";"20,4";"32,6"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"16,6";"22,5"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"18,7";"26,9"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"20,3";"32,5"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"21,5";"32,8"
"08231";"Pforzheim, Stadt";"Landkreis";"22,3";"31,1"
"08235";"Calw";"Landkreis";"21,4";"31,4"
"08236";"Enzkreis";"Landkreis";"21,4";"32,1"
"08237";"Freudenstadt";"Landkreis";"21,4";"31,0"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"19,1";"23,2"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"22,1";"33,3"
"08316";"Emmendingen";"Landkreis";"21,9";"31,6"
"08317";"Ortenaukreis";"Landkreis";"21,7";"31,6"
"08325";"Rottweil";"Landkreis";"22,1";"32,3"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"21,1";"34,3"
"08327";"Tuttlingen";"Landkreis";"23,3";"29,8"
"08335";"Konstanz";"Landkreis";"20,4";"31,4"
"08336";"Lörrach";"Landkreis";"22,0";"30,7"
"08337";"Waldshut";"Landkreis";"22,5";"32,4"
"08415";"Reutlingen";"Landkreis";"21,6";"31,0"
"08416";"Tübingen";"Landkreis";"20,2";"24,6"
"08417";"Zollernalbkreis";"Landkreis";"20,4";"33,8"
"08421";"Ulm, Stadt";"krsfr. Stadt";"19,9";"27,0"
"08425";"Alb-Donau-Kreis";"Landkreis";"22,6";"28,9"
"08426";"Biberach";"Landkreis";"23,0";"27,7"
"08435";"Bodenseekreis";"Landkreis";"21,4";"35,1"
"08436";"Ravensburg";"Landkreis";"21,8";"29,5"
"08437";"Sigmaringen";"Landkreis";"21,3";"30,5"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"20,5";"27,3"
"09162";"München, Stadt";"krsfr. Stadt";"19,6";"25,8"
