Kennziffer;Raumeinheit;Aggregat;Beschäftigte am Wohnort mit akademischem Abschluss
"05962";"Märkischer Kreis";"Landkreis";"8,7"
"05966";"Olpe";"Landkreis";"8,5"
"05970";"Siegen-Wittgenstein";"Landkreis";"11,2"
"05974";"Soest";"Landkreis";"11,3"
"05978";"Unna";"Landkreis";"10,2"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"35,5"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"31,7"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"15,2"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"23,0"
"06431";"Bergstraße";"Landkreis";"15,0"
"06432";"Darmstadt-Dieburg";"Landkreis";"17,5"
"06433";"Groß-Gerau";"Landkreis";"13,4"
"06434";"Hochtaunuskreis";"Landkreis";"25,5"
"06435";"Main-Kinzig-Kreis";"Landkreis";"12,5"
"06436";"Main-Taunus-Kreis";"Landkreis";"24,0"
"06437";"Odenwaldkreis";"Landkreis";"9,6"
"06438";"Offenbach";"Landkreis";"16,3"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"17,3"
"06440";"Wetteraukreis";"Landkreis";"16,0"
"06531";"Gießen";"Landkreis";"18,7"
"06532";"Lahn-Dill-Kreis";"Landkreis";"10,6"
"06533";"Limburg-Weilburg";"Landkreis";"11,4"
"06534";"Marburg-Biedenkopf";"Landkreis";"15,7"
"06535";"Vogelsbergkreis";"Landkreis";"8,2"
"06611";"Kassel, Stadt";"krsfr. Stadt";"21,6"
"06631";"Fulda";"Landkreis";"12,3"
"06632";"Hersfeld-Rotenburg";"Landkreis";"8,6"
"06633";"Kassel";"Landkreis";"9,9"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"8,3"
"06635";"Waldeck-Frankenberg";"Landkreis";"8,0"
"06636";"Werra-Meißner-Kreis";"Landkreis";"8,6"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"18,7"
"07131";"Ahrweiler";"Landkreis";"11,0"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"7,2"
"07133";"Bad Kreuznach";"Landkreis";"9,9"
"07134";"Birkenfeld";"Landkreis";"6,8"
"07135";"Cochem-Zell";"Landkreis";"6,4"
"07137";"Mayen-Koblenz";"Landkreis";"9,2"
"07138";"Neuwied";"Landkreis";"8,9"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"8,1"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"8,7"
"07143";"Westerwaldkreis";"Landkreis";"8,6"
"07211";"Trier, Stadt";"krsfr. Stadt";"18,6"
"07231";"Bernkastel-Wittlich";"Landkreis";"6,9"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"6,2"
"07233";"Vulkaneifel";"Landkreis";"6,5"
"07235";"Trier-Saarburg";"Landkreis";"8,7"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"10,3"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"17,2"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"18,3"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"11,9"
"07315";"Mainz, Stadt";"krsfr. Stadt";"31,8"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"15,2"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"7,1"
"07318";"Speyer, Stadt";"krsfr. Stadt";"16,2"
"07319";"Worms, Stadt";"krsfr. Stadt";"11,6"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"10,0"
"07331";"Alzey-Worms";"Landkreis";"10,7"
"07332";"Bad Dürkheim";"Landkreis";"14,3"
"07333";"Donnersbergkreis";"Landkreis";"8,7"
"07334";"Germersheim";"Landkreis";"9,8"
"07335";"Kaiserslautern";"Landkreis";"9,1"
"07336";"Kusel";"Landkreis";"6,6"
"07337";"Südliche Weinstraße";"Landkreis";"10,3"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"13,9"
"07339";"Mainz-Bingen";"Landkreis";"17,3"
"07340";"Südwestpfalz";"Landkreis";"7,6"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"33,6"
"08115";"Böblingen";"Landkreis";"20,3"
"08116";"Esslingen";"Landkreis";"18,9"
"08117";"Göppingen";"Landkreis";"12,1"
