Kennziffer;Raumeinheit;Aggregat;Kreistyp
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"1"
"06431";"Bergstraße";"Landkreis";"2"
"06432";"Darmstadt-Dieburg";"Landkreis";"2"
"06433";"Groß-Gerau";"Landkreis";"2"
"06434";"Hochtaunuskreis";"Landkreis";"2"
"06435";"Main-Kinzig-Kreis";"Landkreis";"2"
"06436";"Main-Taunus-Kreis";"Landkreis";"2"
"06437";"Odenwaldkreis";"Landkreis";"2"
"06438";"Offenbach";"Landkreis";"2"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"2"
"06440";"Wetteraukreis";"Landkreis";"2"
"06531";"Gießen";"Landkreis";"2"
"06532";"Lahn-Dill-Kreis";"Landkreis";"2"
"06533";"Limburg-Weilburg";"Landkreis";"2"
"06534";"Marburg-Biedenkopf";"Landkreis";"3"
"06535";"Vogelsbergkreis";"Landkreis";"4"
"06611";"Kassel, Stadt";"krsfr. Stadt";"1"
"06631";"Fulda";"Landkreis";"3"
"06632";"Hersfeld-Rotenburg";"Landkreis";"4"
"06633";"Kassel";"Landkreis";"2"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"3"
"06635";"Waldeck-Frankenberg";"Landkreis";"4"
"06636";"Werra-Meißner-Kreis";"Landkreis";"4"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"1"
"07131";"Ahrweiler";"Landkreis";"3"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"2"
"07133";"Bad Kreuznach";"Landkreis";"3"
"07134";"Birkenfeld";"Landkreis";"4"
"07135";"Cochem-Zell";"Landkreis";"4"
"07137";"Mayen-Koblenz";"Landkreis";"2"
"07138";"Neuwied";"Landkreis";"2"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"3"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"2"
"07143";"Westerwaldkreis";"Landkreis";"2"
"07211";"Trier, Stadt";"krsfr. Stadt";"1"
"07231";"Bernkastel-Wittlich";"Landkreis";"4"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"4"
"07233";"Vulkaneifel";"Landkreis";"4"
"07235";"Trier-Saarburg";"Landkreis";"3"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"2"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"2"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"2"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"1"
"07315";"Mainz, Stadt";"krsfr. Stadt";"1"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"2"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"3"
"07318";"Speyer, Stadt";"krsfr. Stadt";"2"
"07319";"Worms, Stadt";"krsfr. Stadt";"2"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"3"
"07331";"Alzey-Worms";"Landkreis";"2"
"07332";"Bad Dürkheim";"Landkreis";"2"
"07333";"Donnersbergkreis";"Landkreis";"3"
"07334";"Germersheim";"Landkreis";"2"
"07335";"Kaiserslautern";"Landkreis";"2"
"07336";"Kusel";"Landkreis";"3"
"07337";"Südliche Weinstraße";"Landkreis";"2"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"2"
"07339";"Mainz-Bingen";"Landkreis";"2"
"07340";"Südwestpfalz";"Landkreis";"3"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"1"
"08115";"Böblingen";"Landkreis";"2"
"08116";"Esslingen";"Landkreis";"2"
"08117";"Göppingen";"Landkreis";"2"
