Kennziffer;Raumeinheit;Aggregat;Krankenhausbetten
"05962";"Märkischer Kreis";"Landkreis";"6,92"
"05966";"Olpe";"Landkreis";"6,25"
"05970";"Siegen-Wittgenstein";"Landkreis";"7,61"
"05974";"Soest";"Landkreis";"6,81"
"05978";"Unna";"Landkreis";"6,76"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"9,62"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"8,00"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"9,12"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"7,45"
"06431";"Bergstraße";"Landkreis";"3,56"
"06432";"Darmstadt-Dieburg";"Landkreis";"1,45"
"06433";"Groß-Gerau";"Landkreis";"3,92"
"06434";"Hochtaunuskreis";"Landkreis";"5,10"
"06435";"Main-Kinzig-Kreis";"Landkreis";"4,07"
"06436";"Main-Taunus-Kreis";"Landkreis";"2,91"
"06437";"Odenwaldkreis";"Landkreis";"4,54"
"06438";"Offenbach";"Landkreis";"2,00"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"4,11"
"06440";"Wetteraukreis";"Landkreis";"4,43"
"06531";"Gießen";"Landkreis";"8,79"
"06532";"Lahn-Dill-Kreis";"Landkreis";"7,04"
"06533";"Limburg-Weilburg";"Landkreis";"5,80"
"06534";"Marburg-Biedenkopf";"Landkreis";"6,21"
"06535";"Vogelsbergkreis";"Landkreis";"6,34"
"06611";"Kassel, Stadt";"krsfr. Stadt";"13,23"
"06631";"Fulda";"Landkreis";"6,64"
"06632";"Hersfeld-Rotenburg";"Landkreis";"8,25"
"06633";"Kassel";"Landkreis";"4,02"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"3,55"
"06635";"Waldeck-Frankenberg";"Landkreis";"10,75"
"06636";"Werra-Meißner-Kreis";"Landkreis";"5,82"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"17,66"
"07131";"Ahrweiler";"Landkreis";"5,89"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"2,99"
"07133";"Bad Kreuznach";"Landkreis";"6,09"
"07134";"Birkenfeld";"Landkreis";"8,30"
"07135";"Cochem-Zell";"Landkreis";"7,19"
"07137";"Mayen-Koblenz";"Landkreis";"3,53"
"07138";"Neuwied";"Landkreis";"8,88"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"4,33"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"8,15"
"07143";"Westerwaldkreis";"Landkreis";"2,66"
"07211";"Trier, Stadt";"krsfr. Stadt";"13,88"
"07231";"Bernkastel-Wittlich";"Landkreis";"4,43"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"6,12"
"07233";"Vulkaneifel";"Landkreis";"3,82"
"07235";"Trier-Saarburg";"Landkreis";"2,50"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"6,50"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"11,56"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"18,35"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"12,22"
"07315";"Mainz, Stadt";"krsfr. Stadt";"10,68"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"6,84"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"10,64"
"07318";"Speyer, Stadt";"krsfr. Stadt";"12,88"
"07319";"Worms, Stadt";"krsfr. Stadt";"8,43"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"6,36"
"07331";"Alzey-Worms";"Landkreis";"4,83"
"07332";"Bad Dürkheim";"Landkreis";"3,93"
"07333";"Donnersbergkreis";"Landkreis";"2,70"
"07334";"Germersheim";"Landkreis";"2,50"
"07335";"Kaiserslautern";"Landkreis";"5,03"
"07336";"Kusel";"Landkreis";"0,00"
"07337";"Südliche Weinstraße";"Landkreis";"6,35"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"0,00"
"07339";"Mainz-Bingen";"Landkreis";"1,64"
"07340";"Südwestpfalz";"Landkreis";"2,38"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"7,91"
"08115";"Böblingen";"Landkreis";"2,85"
"08116";"Esslingen";"Landkreis";"3,56"
"08117";"Göppingen";"Landkreis";"4,87"
"08118";"Ludwigsburg";"Landkreis";"3,20"
"08119";"Rems-Murr-Kreis";"Landkreis";"3,15"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"8,70"
"08125";"Heilbronn";"Landkreis";"3,59"
"08126";"Hohenlohekreis";"Landkreis";"2,56"
"08127";"Schwäbisch Hall";"Landkreis";"3,81"
"08128";"Main-Tauber-Kreis";"Landkreis";"8,21"
"08135";"Heidenheim";"Landkreis";"4,08"
"08136";"Ostalbkreis";"Landkreis";"3,39"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"13,90"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"8,87"
"08215";"Karlsruhe";"Landkreis";"2,03"
"08216";"Rastatt";"Landkreis";"2,59"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"18,85"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"7,82"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"3,50"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"2,76"
"08231";"Pforzheim, Stadt";"Landkreis";"9,59"
"08235";"Calw";"Landkreis";"7,94"
"08236";"Enzkreis";"Landkreis";"1,63"
"08237";"Freudenstadt";"Landkreis";"4,10"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"9,83"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"5,11"
"08316";"Emmendingen";"Landkreis";"6,17"
"08317";"Ortenaukreis";"Landkreis";"5,38"
"08325";"Rottweil";"Landkreis";"6,00"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"6,15"
"08327";"Tuttlingen";"Landkreis";"2,61"
"08335";"Konstanz";"Landkreis";"5,85"
"08336";"Lörrach";"Landkreis";"3,63"
"08337";"Waldshut";"Landkreis";"4,18"
"08415";"Reutlingen";"Landkreis";"4,32"
"08416";"Tübingen";"Landkreis";"8,53"
"08417";"Zollernalbkreis";"Landkreis";"2,92"
"08421";"Ulm, Stadt";"krsfr. Stadt";"12,28"
"08425";"Alb-Donau-Kreis";"Landkreis";"2,16"
"08426";"Biberach";"Landkreis";"4,07"
"08435";"Bodenseekreis";"Landkreis";"3,48"
"08436";"Ravensburg";"Landkreis";"6,13"
"08437";"Sigmaringen";"Landkreis";"5,03"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"9,61"
"09162";"München, Stadt";"krsfr. Stadt";"7,67"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"9,92"
"09171";"Altötting";"Landkreis";"5,32"
"09172";"Berchtesgadener Land";"Landkreis";"6,18"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"5,02"
"09174";"Dachau";"Landkreis";"3,26"
"09175";"Ebersberg";"Landkreis";"2,36"
"09176";"Eichstätt";"Landkreis";"3,48"
"09177";"Erding";"Landkreis";"3,05"
"09178";"Freising";"Landkreis";"2,01"
"09179";"Fürstenfeldbruck";"Landkreis";"1,75"
"09180";"Garmisch-Partenkirchen";"Landkreis";"15,42"
"09181";"Landsberg am Lech";"Landkreis";"3,98"
"09182";"Miesbach";"Landkreis";"4,63"
"09183";"Mühldorf a.Inn";"Landkreis";"3,02"
"09184";"München";"Landkreis";"3,93"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"4,68"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"2,61"
"09187";"Rosenheim";"Landkreis";"10,93"
"09188";"Starnberg";"Landkreis";"9,45"
"09189";"Traunstein";"Landkreis";"4,88"
